period,hcr_type,strategy,change_par,change_type,direction,B_cons,Binit,chng_time2,discount_rate,error_rho,error_cv,error_rep,metric,value
post,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Hcv,0.559639430494846
post,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Hrmn,0.125
post,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Rcm,526.0858074824874
post,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Rcv,0.7410085714968037
post,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,N_neg,0
post,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_Bcons_true,0.803921568627451
post,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_Bcons_fixed,1
post,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_BMSY_true,0
post,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_BMSY_fixed,0.9607843137254902
post,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_0.2BMSY_true,0
post,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_0.2BMSY_fixed,0
post,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_UMSY_true,0
post,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_UMSY_fixed,0
tot,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Bmn,362.7646798760466
tot,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Bcv,0.3892769375324519
tot,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Hcm,3650.605147158455
tot,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Hcv,0.746021642504397
tot,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Hrmn,0.08300681958062546
tot,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Rcm,2713.394222413153
tot,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Rcv,0.8469405996136435
tot,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,N_neg,0
tot,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_Bcons_true,0.5
tot,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_Bcons_fixed,1
tot,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_BMSY_true,0
tot,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_BMSY_fixed,0.49
tot,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_0.2BMSY_true,0
tot,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_0.2BMSY_fixed,0
tot,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_UMSY_true,0.48
tot,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_UMSY_fixed,0.48
pre,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Bmn,500
pre,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Bcv,0
pre,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Hcm,3062.5
pre,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Hcv,0
pre,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Hrmn,0.125
pre,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Rcm,2408.9997868406726
pre,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Rcv,0.1426016372520952
pre,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,N_neg,0
pre,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_Bcons_true,1
pre,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_Bcons_fixed,1
pre,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_BMSY_true,0
pre,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_BMSY_fixed,0
pre,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_0.2BMSY_true,0
pre,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_0.2BMSY_fixed,0
pre,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_UMSY_true,0
pre,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_UMSY_fixed,0
post,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Bmn,230.91113701185606
post,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Bcv,0.24859364347950266
post,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Hcm,588.1051471584552
post,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Hcv,1.1313605377972598
post,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Hrmn,0.04266043055024601
post,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Rcm,304.39443557248023
post,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Rcv,1.3608482129169053
post,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,N_neg,0
post,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_Bcons_true,0.0196078431372549
post,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_Bcons_fixed,1
post,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_BMSY_true,0
post,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_BMSY_fixed,0.9607843137254902
post,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_0.2BMSY_true,0
post,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_0.2BMSY_fixed,0
post,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_UMSY_true,0.9411764705882353
post,slope,SQ,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_UMSY_fixed,0.9411764705882353
tot,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Bmn,319.05337009936966
tot,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Bcv,0.5518053628025468
tot,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Hcm,3989.605234524178
tot,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Hcv,0.5456218371844825
tot,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Hrmn,0.12421809948923632
tot,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Rcm,2822.5309613646823
tot,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Rcv,0.690572210993168
tot,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,N_neg,0
tot,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_Bcons_true,0.9
tot,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_Bcons_fixed,1
tot,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_BMSY_true,0.5
tot,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_BMSY_fixed,1
tot,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_0.2BMSY_true,0
tot,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_0.2BMSY_fixed,0
tot,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_UMSY_true,0.05
tot,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_UMSY_fixed,0.05
pre,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Bmn,487.9221667215195
pre,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Bcv,0.04271291222048259
pre,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Hcm,2943.1139268630395
pre,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Hcv,0.0847163852123774
pre,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Hrmn,0.12340428467191085
pre,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Rcm,2296.4697112749104
pre,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Rcv,0.1112443447607056
pre,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,N_neg,0
pre,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_Bcons_true,1
pre,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_Bcons_fixed,1
pre,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_BMSY_true,1
pre,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_BMSY_fixed,1
pre,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_0.2BMSY_true,0
pre,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_0.2BMSY_fixed,0
pre,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_UMSY_true,0.10204081632653061
pre,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_UMSY_fixed,0.10204081632653061
post,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Bmn,156.806879227108
post,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Bcv,0.5004177090830257
post,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Hcm,1046.4913076611388
post,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Hcv,0.5595256174769919
post,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Hrmn,0.125
post,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Rcm,526.0612500897721
post,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Rcv,0.7408844572431288
post,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,N_neg,0
post,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_Bcons_true,0.803921568627451
post,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_Bcons_fixed,1
post,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_BMSY_true,0.0196078431372549
post,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_BMSY_fixed,1
post,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_0.2BMSY_true,0
post,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_0.2BMSY_fixed,0
post,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_UMSY_true,0
post,slope,GCA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_UMSY_fixed,0
tot,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Bmn,320.94149719076836
tot,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Bcv,0.5542317510545616
tot,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Hcm,3990.5747213489476
tot,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Hcv,0.5469201680131812
tot,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Hrmn,0.12373994788288632
tot,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Rcm,2821.8033899320008
tot,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Rcv,0.6905545135928722
tot,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,N_neg,0
tot,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_Bcons_true,0.9
tot,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_Bcons_fixed,1
tot,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_BMSY_true,0.5
tot,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_BMSY_fixed,1
tot,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_0.2BMSY_true,0
tot,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_0.2BMSY_fixed,0
tot,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_UMSY_true,0.5
tot,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_UMSY_fixed,0.5
pre,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Bmn,491.7710884754529
pre,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Bcv,0.04203646050827012
pre,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Hcm,2944.042373451374
pre,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Hcv,0.09148271829625478
pre,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Hrmn,0.12242846526192037
pre,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Rcm,2295.7175885512934
pre,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Rcv,0.11155118791262232
pre,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,N_neg,0
pre,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_Bcons_true,1
pre,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_Bcons_fixed,1
pre,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_BMSY_true,1
pre,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_BMSY_fixed,1
pre,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_0.2BMSY_true,0
pre,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_0.2BMSY_fixed,0
pre,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_UMSY_true,0.9795918367346939
pre,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_UMSY_fixed,0.9795918367346939
post,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Bmn,156.8111055643067
post,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Bcv,0.5005115684010689
post,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Hcm,1046.5323478975738
post,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Hcv,0.5596394008966474
post,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Hrmn,0.124999999812834
post,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Rcm,526.0858013807072
post,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Rcv,0.7410085389157278
post,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,N_neg,0
post,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_Bcons_true,0.803921568627451
post,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_Bcons_fixed,1
post,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_BMSY_true,0.0196078431372549
post,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_BMSY_fixed,1
post,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_0.2BMSY_true,0
post,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_0.2BMSY_fixed,0
post,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_UMSY_true,0.0392156862745098
post,slope,ACA,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_UMSY_fixed,0.0392156862745098
tot,slope,SQ,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Bmn,358.73251301586686
tot,slope,SQ,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Bcv,0.38473154260162007
tot,slope,SQ,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Hcm,3532.1475095278997
tot,slope,SQ,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Hcv,0.7467044593718949
tot,slope,SQ,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Hrmn,0.0817467674368193
tot,slope,SQ,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Rcm,2600.1120174526063
tot,slope,SQ,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Rcv,0.832428581982113
tot,slope,SQ,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,N_neg,0
