period,hcr_type,strategy,change_par,change_type,direction,B_cons,Binit,chng_time2,discount_rate,error_rho,error_cv,error_rep,metric,value
tot,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Rcm,3820.4572897145345
tot,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Rcv,0.34849954804679173
tot,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,N_neg,0
tot,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_Bcons_true,0.9
tot,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_Bcons_fixed,1
tot,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_BMSY_true,0
tot,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_BMSY_fixed,0.09
tot,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_0.2BMSY_true,0
tot,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_0.2BMSY_fixed,0
tot,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_UMSY_true,0
tot,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_UMSY_fixed,0
pre,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Bmn,500
pre,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Bcv,0
pre,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Hcm,5562.5
pre,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Hcv,0
pre,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Hrmn,0.125
pre,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Rcm,3665.0152325330705
pre,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Rcv,0.2566796195600987
pre,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,N_neg,0
pre,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_Bcons_true,1
pre,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_Bcons_fixed,1
pre,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_BMSY_true,0
pre,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_BMSY_fixed,0
pre,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_0.2BMSY_true,0
pre,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_0.2BMSY_fixed,0
pre,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_UMSY_true,0
pre,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_UMSY_fixed,0
post,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Bmn,256.6946059602407
post,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Bcv,0.5029038782989717
post,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Hcm,396.28786951299344
post,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Hcv,0.495862703016307
post,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Hrmn,0.125
post,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Rcm,155.4420571814636
post,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Rcv,0.5272309220795516
post,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,N_neg,0
post,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_Bcons_true,0.09090909090909091
post,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_Bcons_fixed,1
post,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_BMSY_true,0
post,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_BMSY_fixed,0.8181818181818182
post,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_0.2BMSY_true,0
post,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_0.2BMSY_fixed,0
post,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_UMSY_true,0
post,slope,ACA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_UMSY_fixed,0
tot,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Bmn,476.9443680444522
tot,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Bcv,0.15559146483400257
tot,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Hcm,5842.949890824116
tot,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Hcv,0.23822385963346568
tot,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Hrmn,0.1186747998530068
tot,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Rcm,3776.1574015615342
tot,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Rcv,0.3786754212002565
tot,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,N_neg,0
tot,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_Bcons_true,0.9
tot,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_Bcons_fixed,1
tot,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_BMSY_true,0
tot,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_BMSY_fixed,0.09
tot,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_0.2BMSY_true,0
tot,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_0.2BMSY_fixed,0
tot,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_UMSY_true,0.08
tot,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_UMSY_fixed,0.08
pre,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Bmn,500
pre,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Bcv,0
pre,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Hcm,5562.5
pre,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Hcv,0
pre,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Hrmn,0.125
pre,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Rcm,3665.0152325330705
pre,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Rcv,0.2566796195600987
pre,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,N_neg,0
pre,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_Bcons_true,1
pre,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_Bcons_fixed,1
pre,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_BMSY_true,0
pre,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_BMSY_fixed,0
pre,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_0.2BMSY_true,0
pre,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_0.2BMSY_fixed,0
pre,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_UMSY_true,0
pre,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_UMSY_fixed,0
post,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Bmn,290.40334585865605
post,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Bcv,0.3694344802905189
post,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Hcm,280.4498908241153
post,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Hcv,0.9425806453966641
post,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Hrmn,0.06749818048187997
post,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Rcm,111.14216902846354
post,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Rcv,0.9679165143098312
post,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,N_neg,0
post,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_Bcons_true,0.09090909090909091
post,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_Bcons_fixed,1
post,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_BMSY_true,0
post,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_BMSY_fixed,0.8181818181818182
post,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_0.2BMSY_true,0
post,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_0.2BMSY_fixed,0
post,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_UMSY_true,0.7272727272727273
post,slope,SQ,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_UMSY_fixed,0.7272727272727273
tot,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Bmn,399.87179434957767
tot,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Bcv,0.3979813971327605
tot,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Hcm,5045.075584042025
tot,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Hcv,0.3890701452017306
tot,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Hrmn,0.125
tot,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Rcm,3426.1440330080127
tot,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Rcv,0.5279031631189205
tot,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,N_neg,0
tot,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_Bcons_true,0.9
tot,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_Bcons_fixed,1
tot,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_BMSY_true,0
tot,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_BMSY_fixed,0.29
tot,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_0.2BMSY_true,0
tot,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_0.2BMSY_fixed,0
tot,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_UMSY_true,0
tot,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_UMSY_fixed,0
pre,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Bmn,500
pre,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Bcv,0
pre,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Hcm,4312.5
pre,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Hcv,0
pre,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Hrmn,0.125
pre,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Rcm,3099.5997800319374
pre,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Rcv,0.19983441895674978
pre,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,N_neg,0
pre,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_Bcons_true,1
pre,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_Bcons_fixed,1
pre,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_BMSY_true,0
pre,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_BMSY_fixed,0
pre,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_0.2BMSY_true,0
pre,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_0.2BMSY_fixed,0
pre,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_UMSY_true,0
pre,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_UMSY_fixed,0
post,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Bmn,177.00578822444407
post,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Bcv,0.541647973802021
post,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Hcm,732.5755840420254
post,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Hcv,0.5898453869542127
post,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Hrmn,0.125
post,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Rcm,326.5442529760754
post,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Rcv,0.6957972875830509
post,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,N_neg,0
post,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_Bcons_true,0.6774193548387096
post,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_Bcons_fixed,1
post,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_BMSY_true,0
post,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_BMSY_fixed,0.9354838709677419
post,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_0.2BMSY_true,0
post,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_0.2BMSY_fixed,0
post,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_UMSY_true,0
post,slope,GCA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_UMSY_fixed,0
tot,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Bmn,399.87179434957767
tot,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Bcv,0.3979813971327605
tot,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Hcm,5045.075584042025
tot,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Hcv,0.3890701452017306
tot,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Hrmn,0.125
tot,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Rcm,3426.1440330080127
tot,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Rcv,0.5279031631189205
tot,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,N_neg,0
tot,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_Bcons_true,0.9
tot,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_Bcons_fixed,1
tot,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_BMSY_true,0
tot,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_BMSY_fixed,0.29
