period,hcr_type,strategy,change_par,change_type,direction,Binit,chng_time2,discount_rate,error_rho,error_cv,error_rep,metric,value,par_A,per_change
pre,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Bmn,500,1000,-75
pre,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Bcv,0,1000,-75
pre,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Hcm,3062.5,1000,-75
pre,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Hcv,0,1000,-75
pre,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Hrmn,0.125,1000,-75
pre,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Rcm,2408.9997868406726,1000,-75
pre,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Rcv,0.1426016372520952,1000,-75
pre,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,N_neg,0,1000,-75
pre,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,C_lim,0,1000,-75
post,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Bmn,156.81110605816502,1000,-75
post,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Bcv,0.5005115795056454,1000,-75
post,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Hcm,1046.532358040119,1000,-75
post,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Hcv,0.559639430494846,1000,-75
post,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Hrmn,0.125,1000,-75
post,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Rcm,526.0858074824874,1000,-75
post,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Rcv,0.7410085714968037,1000,-75
post,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,N_neg,0,1000,-75
post,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,C_lim,0,1000,-75
tot,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Bmn,324.97366408966417,1000,-75
tot,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Bcv,0.5576503613208582,1000,-75
tot,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Hcm,4109.032358040119,1000,-75
tot,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Hcv,0.5503812251079075,1000,-75
tot,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Hrmn,0.125,1000,-75
tot,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Rcm,2935.08559432316,1000,-75
tot,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Rcv,0.7100153037980955,1000,-75
tot,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,N_neg,0,1000,-75
tot,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,C_lim,0,1000,-75
pre,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Bmn,500,1000,-75
pre,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Bcv,0,1000,-75
pre,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Hcm,3062.5,1000,-75
pre,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Hcv,0,1000,-75
pre,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Hrmn,0.125,1000,-75
pre,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Rcm,2408.9997868406726,1000,-75
pre,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Rcv,0.1426016372520952,1000,-75
pre,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,N_neg,0,1000,-75
pre,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,C_lim,0,1000,-75
post,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Bmn,156.81110605816502,1000,-75
post,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Bcv,0.5005115795056454,1000,-75
post,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Hcm,1046.532358040119,1000,-75
post,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Hcv,0.559639430494846,1000,-75
post,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Hrmn,0.125,1000,-75
post,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Rcm,526.0858074824874,1000,-75
post,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Rcv,0.7410085714968037,1000,-75
post,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,N_neg,0,1000,-75
post,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,C_lim,0,1000,-75
tot,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Bmn,362.7646798760466,1000,-75
tot,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Bcv,0.3892769375324519,1000,-75
tot,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Hcm,3650.605147158455,1000,-75
tot,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Hcv,0.746021642504397,1000,-75
tot,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Hrmn,0.08300681958062546,1000,-75
tot,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Rcm,2713.394222413153,1000,-75
tot,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Rcv,0.8469405996136435,1000,-75
tot,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,N_neg,0,1000,-75
tot,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,C_lim,0,1000,-75
pre,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Bmn,500,1000,-75
pre,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Bcv,0,1000,-75
pre,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Hcm,3062.5,1000,-75
pre,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Hcv,0,1000,-75
pre,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Hrmn,0.125,1000,-75
pre,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Rcm,2408.9997868406726,1000,-75
pre,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Rcv,0.1426016372520952,1000,-75
pre,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,N_neg,0,1000,-75
pre,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,C_lim,0,1000,-75
post,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Bmn,230.91113701185606,1000,-75
post,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Bcv,0.24859364347950266,1000,-75
post,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Hcm,588.1051471584552,1000,-75
post,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Hcv,1.1313605377972598,1000,-75
post,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Hrmn,0.04266043055024601,1000,-75
post,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Rcm,304.39443557248023,1000,-75
post,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Rcv,1.3608482129169053,1000,-75
post,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,N_neg,0,1000,-75
post,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,C_lim,0,1000,-75
tot,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Bmn,363.95936798344553,1000,-60
tot,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Bcv,0.391723461320557,1000,-60
tot,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Hcm,4586.973281793284,1000,-60
tot,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Hcv,0.38763100427240094,1000,-60
tot,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Hrmn,0.125,1000,-60
tot,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Rcm,3161.875454596922,1000,-60
tot,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Rcv,0.5905252221967972,1000,-60
tot,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,N_neg,0,1000,-60
tot,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,C_lim,0,1000,-60
pre,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Bmn,500,1000,-60
pre,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Bcv,0,1000,-60
pre,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Hcm,3062.5,1000,-60
pre,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Hcv,0,1000,-60
pre,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Hrmn,0.125,1000,-60
pre,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Rcm,2408.9997868406726,1000,-60
pre,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Rcv,0.1426016372520952,1000,-60
pre,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,N_neg,0,1000,-60
pre,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,C_lim,0,1000,-60
post,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Bmn,233.25366271263832,1000,-60
post,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Bcv,0.2934170460240821,1000,-60
post,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Hcm,1524.4732817932834,1000,-60
post,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Hcv,0.3252658916622602,1000,-60
post,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Hrmn,0.125,1000,-60
post,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Rcm,752.8756677562491,1000,-60
post,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Rcv,0.4867308209141633,1000,-60
post,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,N_neg,0,1000,-60
post,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,C_lim,0,1000,-60
tot,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Bmn,363.95936798344553,1000,-60
tot,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Bcv,0.391723461320557,1000,-60
tot,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Hcm,4586.973281793284,1000,-60
tot,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Hcv,0.38763100427240094,1000,-60
tot,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Hrmn,0.125,1000,-60
tot,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Rcm,3161.875454596922,1000,-60
tot,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Rcv,0.5905252221967972,1000,-60
tot,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,N_neg,0,1000,-60
tot,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,C_lim,0,1000,-60
pre,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Bmn,500,1000,-60
pre,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Bcv,0,1000,-60
pre,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Hcm,3062.5,1000,-60
pre,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Hcv,0,1000,-60
pre,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Hrmn,0.125,1000,-60
pre,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Rcm,2408.9997868406726,1000,-60
