period,hcr_type,strategy,change_par,change_type,direction,B_cons,Binit,chng_time2,discount_rate,error_rho,error_cv,error_rep,metric,value,par_A,per_change
pre,slope,SQ,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,Hcm,888.9114589695627,250,300
pre,slope,SQ,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,Hcv,0.18806099777920962,250,300
pre,slope,SQ,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,Hrmn,0.12258567368285467,250,300
pre,slope,SQ,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,Rcm,710.2073235562654,250,300
pre,slope,SQ,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,Rcv,0.2845426839004823,250,300
pre,slope,SQ,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,N_neg,0,250,300
pre,slope,SQ,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_Bcons_true,0.9591836734693877,250,300
pre,slope,SQ,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_Bcons_fixed,0.5714285714285714,250,300
pre,slope,SQ,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_BMSY_true,0.8571428571428571,250,300
pre,slope,SQ,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_BMSY_fixed,0.22448979591836735,250,300
pre,slope,SQ,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_0.2BMSY_true,0,250,300
pre,slope,SQ,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_0.2BMSY_fixed,0,250,300
pre,slope,SQ,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_UMSY_true,0.20408163265306123,250,300
pre,slope,SQ,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_UMSY_fixed,0.20408163265306123,250,300
pre,slope,update_10,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Bmn,345.16707339958504,1000,-75
pre,slope,update_10,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Bcv,0.4619042644683234,1000,-75
pre,slope,update_10,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Hcm,1996.1059315959228,1000,-75
pre,slope,update_10,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Hcv,0.5402316010599059,1000,-75
pre,slope,update_10,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Hrmn,0.11069250109493867,1000,-75
pre,slope,update_10,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Rcm,1681.9944027471845,1000,-75
pre,slope,update_10,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Rcv,0.6573827211530254,1000,-75
pre,slope,update_10,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,N_neg,0,1000,-75
pre,slope,update_10,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_Bcons_true,0.8775510204081632,1000,-75
pre,slope,update_10,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_Bcons_fixed,0.8979591836734694,1000,-75
pre,slope,update_10,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_BMSY_true,0.40816326530612246,1000,-75
pre,slope,update_10,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_BMSY_fixed,0.8163265306122449,1000,-75
pre,slope,update_10,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_0.2BMSY_true,0,1000,-75
pre,slope,update_10,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_0.2BMSY_fixed,0,1000,-75
pre,slope,update_10,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_UMSY_true,0.6326530612244898,1000,-75
pre,slope,update_10,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_UMSY_fixed,0.6326530612244898,1000,-75
pre,slope,update_4,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Bmn,338.0461015885861,1000,-75
pre,slope,update_4,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Bcv,0.4840222493045843,1000,-75
pre,slope,update_4,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Hcm,2006.2043695654525,1000,-75
pre,slope,update_4,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Hcv,0.5373714725626819,1000,-75
pre,slope,update_4,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Hrmn,0.11429224407076333,1000,-75
pre,slope,update_4,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Rcm,1690.5356831218924,1000,-75
pre,slope,update_4,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Rcv,0.6542764057994237,1000,-75
pre,slope,update_4,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,N_neg,0,1000,-75
pre,slope,update_4,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_Bcons_true,0.8775510204081632,1000,-75
pre,slope,update_4,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_Bcons_fixed,0.8979591836734694,1000,-75
